"TARGET","CCONJ","ADV","ADJ","modifier","comma","id","corpus"
"sunny","but",NA,"cold",NA,0,"text281","I’m pretty proud of my newest “gardening in Nebraska” innovation, though: last week it was sunny but cold and windy, and I wanted my seedlings to get some sunshine without getting blown across the yard, so I took one of those flat under-bed plastic totes outside and put the plants inside it."
"sunny","but",NA,"chilly",NA,0,"text283","Did some work this morning (working from home sucks!), now out on a sunny but chilly afternoon walking the housemate’s dog."
"sunny","but",NA,"sure",NA,0,"text284","Ah jesus I need a converter to celcius lol... it's about 13c here...nice and sunny but sure we're not allowed to go out :("
"sunny","but","chilly","sober",NA,0,"text295","Anyhow, I will not drink with you today on the sunny but chilly Sober strong spring day. .... windy  5k +/- run around an inland lake at noon... keeping moving!"
"sunny","but",NA,"cold",NA,1,"text30","The weather is sunny, but cold."
"sunny","but","slightly","chilly",NA,0,"text300","Sunny but slightly chilly"
"sunny","but",NA,"mild",NA,0,"text303","I like to when it's sunny but mild temperatures."
"sunny","but","still","low",NA,0,"text304","Sunny but still low temps today - have a great Saturday all!"
"sunny","but","still","low",NA,0,"text305","Sunny but still low temps today - have a great Saturday all!"
"sunny","but",NA,"chilly",NA,0,"text306","[Sunny but chilly walk](https://imgur.com/a/jZ86DwO) (Everlane parka, GAP jeans, Nike infiltrator)"
"sunny","but","still","cold","kinda",0,"text31","Like on a clear, kinda sunny but still cold af day?"
"sunny","but",NA,"low",NA,0,"text316","Sunny but low 20s most of the week..."
"sunny","but",NA,"windy",NA,0,"text324","Morning, sunny but windy here"
"sunny","but","not","crazy","gloriously",0,"text328","It’s gloriously sunny but not crazy warm by me."
"sunny","but",NA,"more","always",0,"text331","Lmao it’s so good, it’s like British always sunny but more self aware..."
"sunny","but",NA,"freezing",NA,0,"text334","Sunny but freezing cold in Dublin."
"sunny","but",NA,"fart",NA,0,"text337","I see this as \"sunny but fart day\"  Lol."
"sunny","but",NA,"fake",NA,0,"text346","Pleasantville is a sunny but fake place where you retain your wealth, presidential status, and the admiration of the people."
"sunny","but",NA,"cold",NA,0,"text363","It's sunny but cold today so we'll run the Daiken all day to heat the house as well."
"sunny","but",NA,"windy","still",0,"text42","Damn its still sunny but windy in Venice."
"sunny","but",NA,"crisp",NA,0,"text45","Its a beautiful, sunny but crisp day."
"sunny","but",NA,"cool","usually",0,"text48","Otherwise, the weather is fantastic and usually sunny but cool."
"sunny","but",NA,"dumb",NA,1,"text49","2014 we had a cold one against Idaho state (sunny, but dumb ass cold) but I can’t remember the temps."
"sunny","but",NA,"crisp",NA,0,"text5","We get beautiful summers (high 20’s, low 30’s oC), perfect stunning Falls (sunny but crisp air- my fav)."
"sunny","but","very","few","super",1,"text50","Not super sunny, but very few clouds and only a slight breeze."
"sunny","but",NA,"windy",NA,0,"text54","I live in Colorado and if it’s 42 and sunny but windy it feels MUCH colder than 42 and sunny and still."
"sunny","but","not","funny","always",1,"text57","It's like an episode of always sunny, but not funny."
"sunny","but",NA,"chilly",NA,0,"text59","When autumn first starts to happen and it's sunny but chilly and it's perfect to drive in the car with the windows down in a sweatshirt but the floor heat on, with your favorite song playing."
"sunny","but","very","windy",NA,1,"text60","Sunday was sunny, but very windy."
"sunny","but",NA,"cold",NA,1,"text66","Prepping some sirloin for dinner tonight in sunny, but cold Florida."
"sunny","but",NA,"windy",NA,1,"text7","Second, cold wet bathing suit against your skin for 30 minutes after you leave the water and are trying to relax on a sunny, but windy beach?"
"sunny","but","still","cold",NA,1,"text75","It's sunny, but still cold and windy here, so no outdoors for me."
"sunny","but","too","dark",NA,1,"text86","Great when it's sunny, but too dark otherwise."
"sunny","but",NA,"chilly",NA,0,"text87","Sunny but chilly ride in, my thumbs felt it!"
"sunny","but",NA,"good","very",0,"text88","Not very sunny but good enough."
"sunny","but","still","cold","quite",1,"text96","Quite sunny, but still cold"
